customer_id,booking_id,review_date,stay_rating,review_text
C0001,INN00000,2020-08-21,3,"Неплохо. тихо и спокойно, но отсутствие фена в номере. Кондиционер не справлялся, тяжело в номере"
C0001,INN00001,2021-10-15,3,"Неплохо. красивое оформление территории, но неработающий лифт."
C0001,INN00002,2023-03-08,4,Отличный отель! удобные парковочные места. здесь всегда ждут как родных
C0002,INN00003,2017-08-13,3,"Неплохо. тёплый приём, но неисправная сантехника. В номерах холодно. второго одеяла пришлось выпрашивать"
C0003,INN00004,2019-07-12,4,Отличный отель! качественная косметика в ванной. сервис здесь — это забота на максимум
C0003,INN00005,2020-04-20,4,Отличный отель! приветливые официанты. уровень комфорта покорил — вернусь! Зимой отель хорошо отапливается.
C0003,INN00006,2021-06-18,3,"Неплохо. удобные подушки и матрасы, но неудобное расположение."
C0004,INN00007,2018-02-07,3,"Неплохо. всё супер, но отсутствие парковки. Кондиционер не справлялся, тяжело в номере"
C0005,INN00009,2018-03-10,3,"Неплохо. спа‑услуги на отлично, но мусор у входа в отель."
C0006,INN00010,2020-10-10,3,"Неплохо. чистый бассейн, но холодно в номере зимой. Кондиционер не справлялся, тяжело в номере"
C0006,INN00011,2021-12-08,4,Отличный отель! качественные продукты на завтрак.
C0007,INN00012,2021-05-22,4,Отличный отель! удобная мебель. Дети в восторге от игровой зоны! Зимой отель хорошо отапливается.
C0007,INN00014,2021-12-10,3,"Неплохо. вежливый персонал, но долгий процесс заселения. Для детей ничего нет, им было скучно."
C0008,INN00015,2020-02-24,3,"Неплохо. удобные подушки и матрасы, но отсутствие парковки. Для детей ничего нет, им было скучно. В номерах холодно. второго одеяла пришлось выпрашивать"
C0009,INN00016,2018-12-14,4,Отличный отель! удобное расположение.
C0011,INN00018,2019-10-08,3,"Неплохо. уютная атмосфера, но тесные номера. Кондиционер не справлялся, тяжело в номере"
C0012,INN00019,2018-12-17,3,"Неплохо. достаточное освещение, но шумно ночью."
C0013,INN00020,2018-08-07,4,"Отличный отель! профессиональное обслуживание. отель, который стал частью моих путешествий Летом есть кондиционер, спасал от жары."
C0013,INN00021,2019-07-10,3,"Неплохо. красивый интерьер, но несвежие продукты в ресторане."
C0014,INN00023,2019-01-22,3,"Неплохо. очень чисто, но неработающий лифт. Кондиционер не справлялся, тяжело в номере"
C0014,INN00024,2020-05-23,4,"Отличный отель! хороший кондиционер. буду рекомендовать как лучший выбор Летом есть кондиционер, спасал от жары."
C0015,INN00025,2017-11-19,3,"Неплохо. удобные парковочные места, но неудобные кровати. Кондиционер не справлялся, тяжело в номере"
C0016,INN00026,2020-05-19,3,"Неплохо. стильный дизайн отеля, но медленный интернет."
C0017,INN00027,2021-02-03,3,"Неплохо. современные номера, но неудобное расположение. Для детей ничего нет, им было скучно. Кондиционер не справлялся, тяжело в номере"
C0018,INN00028,2018-09-17,3,"Неплохо. прекрасный вид, но неудобное расположение. Для детей ничего нет, им было скучно. Кондиционер не справлялся, тяжело в номере"
C0019,INN00029,2021-01-19,4,"Отличный отель! быстрый интернет. Дети в восторге от игровой зоны! Летом есть кондиционер, спасал от жары."
C0020,INN00030,2019-07-01,3,"Неплохо. удобные парковочные места, но несвежие продукты в ресторане."
C0022,INN00033,2019-10-07,4,Отличный отель! быстрый интернет. останавливаюсь здесь уже в третий раз
C0022,INN00034,2020-03-02,3,"Неплохо. своевременная уборка номеров, но шум от стройки рядом. В номерах холодно. второго одеяла пришлось выпрашивать"
C0023,INN00035,2017-06-22,3,"Неплохо. современные номера, но несоответствие фото на сайте. Для детей ничего нет, им было скучно."
C0024,INN00036,2019-12-22,3,"Неплохо. разнообразное меню в ресторане, но неудобная мебель."
C0024,INN00037,2020-11-30,4,"Отличный отель! комфортабельные зоны отдыха. чистота без компромиссов — это впечатляет Летом есть кондиционер, спасал от жары."
C0024,INN00038,2021-06-20,3,"Неплохо. красивое оформление территории, но не работают розетки в номере."
C0024,INN00039,2022-02-08,3,"Неплохо. свежие цветы в номерах, но холодно в номере зимой. В номерах холодно. второго одеяла пришлось выпрашивать"
C0025,INN00040,2019-12-28,4,Отличный отель! стильный дизайн отеля. Зимой отель хорошо отапливается.
C0026,INN00041,2020-04-19,3,"Неплохо. хороший кондиционер, но тесные номера."
C0026,INN00042,2020-11-14,3,"Неплохо. красивое оформление территории, но грязные номера. Кондиционер не справлялся, тяжело в номере"
C0028,INN00044,2019-03-21,3,"Неплохо. тихо и спокойно, но старые номера. Для детей ничего нет, им было скучно."
C0030,INN00047,2020-06-04,3,"Неплохо. удобное расположение, но непонятная система оплаты."
C0031,INN00048,2018-06-28,3,"Неплохо. удобное расположение, но неудобное расположение."
C0031,INN00049,2019-02-28,4,Отличный отель! свежее постельное бельё. чистота и порядок — визитная карточка Зимой отель хорошо отапливается.
C0031,INN00050,2019-10-08,4,"Отличный отель! удобные лифты. вернусь за атмосферой уюта Летом есть кондиционер, спасал от жары."
C0031,INN00051,2020-06-11,4,Отличный отель! профессиональное обслуживание.
C0032,INN00052,2020-01-30,3,"Неплохо. качественная косметика в ванной, но холодная еда в ресторане. Кондиционер не справлялся, тяжело в номере"
C0033,INN00053,2021-05-02,3,"Неплохо. приятный аромат в холле, но несоответствие фото на сайте. Для детей ничего нет, им было скучно."
C0034,INN00054,2018-12-29,4,Отличный отель! чистые полотенца каждый день.
C0035,INN00055,2018-04-24,4,Отличный отель! хорошие виды из окон. отель в моём личном топе — 5/5 Зимой отель хорошо отапливается.
C0035,INN00056,2019-04-15,4,Отличный отель! вкусный завтрак.
C0036,INN00057,2019-07-19,4,"Отличный отель! вежливый персонал. отель, который делает отдых незабываемым Дети в восторге от игровой зоны!"
C0036,INN00058,2019-11-19,3,"Неплохо. удобная мебель, но неудобная мебель. Для детей ничего нет, им было скучно."
C0037,INN00059,2020-07-18,3,"Неплохо. всё супер, но несвежие продукты в ресторане. Для детей ничего нет, им было скучно. Кондиционер не справлялся, тяжело в номере"
C0038,INN00060,2021-01-17,3,"Неплохо. удобные лифты, но отсутствие парковки."
C0038,INN00061,2021-11-05,3,"Неплохо. оперативное решение проблем, но дорого для такого качества. Кондиционер не справлялся, тяжело в номере"
C0039,INN00062,2017-11-15,4,Отличный отель! удобная мебель. обязательно вернусь снова — здесь уютно! Дети в восторге от игровой зоны!
C0040,INN00063,2018-09-09,4,Отличный отель! быстрая доставка багажа. сервис здесь — это забота на максимум Дети в восторге от игровой зоны!
